"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","navigation1","navigation2","navigation3","navigation4","navigation5","navigation6","navigation7","navigation8","navigation9","navigation10","navigation11","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time","rotation_response","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
11560651,"Conversion MSc",1,9,40,"dog","platypus",182,"Yes",4,4,4,4,4,0,0,1,1,1,1,1,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,6,5,6,3,3,3,3,3,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18828,"C",9,9,9,9,9,9,9,9
11600590,"Health MSc",7,4,85,"dog","koala",154.94,"Yes",2,2,3,2,2,69,69,7,7,3,3,7,4,3,3,3,3,1,1,3,3,4,4,7,3,2,4,3,5,6,1,6,7,7,5,0,3,5,4,4,0,3,3,3,3,3,3,-3,3,3,3,3,2,2,-3,-3,-3,-3,-3,0,3,6,6,6,4,1,3,4,3,4,5,5,1,5,5,4,4,5,5,1,1,1,3,3,5,5,1,2,4,2,1,2,1,2,5,1,2,2,1,3,2,4,2,2,3,1,2,2,2,2,2,4,3,2,4,16119,"B",7,8,2,2,2,8,7,8
12687449,"Other Research MSc",4,7,70,"cat","kangaroo",167,"Yes",4,2,3,3,4,79,90,7,7,7,5,7,2,2,3,2,1,NA,NA,NA,NA,NA,NA,3,3,3,2,2,3,2,2,5,4,3,3,1,4,4,3,1,3,2,-1,2,3,-2,1,-2,0,0,1,3,1,2,-2,-2,0,3,-2,1,1,4,1,3,3,2,3,3,4,3,3,5,3,5,4,3,5,2,5,3,3,3,4,4,2,5,4,2,4,3,1,3,2,1,4,1,2,4,2,5,3,4,4,2,1,2,2,4,4,1,1,5,2,1,4,9615,"C",4,7,4,5,3,7,6,5
13306514,"Health MSc",4,8,75,"dog","koala",160,"Yes",3,3,4,3,2,65,61,7,7,1,1,7,3,2,4,2,3,4,4,5,5,5,5,3,3,1,1,1,5,1,3,5,5,4,6,3,4,4,4,5,6,6,5,7,6,5,7,4,7,7,7,5,3,4,4,4,4,5,4,0,4,0,0,2,5,5,4,5,4,2,3,5,3,5,5,5,4,3,5,2,3,1,2,3,2,3,3,2,4,1,1,1,1,1,4,1,1,1,1,1,2,2,3,2,1,1,4,2,3,3,3,4,1,1,3,15082,"A",7,9,6,8,5,9,6,9
14055340,"Conversion MSc",1,8,75,"dog","koala",166,"No",2,3,3,2,3,70,50,6,6,6,5,5,1,4,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,2,2,3,6,1,2,2,2,1,3,5,4,7,7,1,7,4,4,5,5,6,7,6,4,5,4,7,7,4,5,0,6,0,0,6,4,3,5,3,3,2,3,4,2,4,5,3,4,5,3,2,3,3,2,4,5,4,1,3,1,5,3,5,5,3,5,1,5,5,5,4,5,5,3,5,4,3,3,5,5,3,3,3,4,3,5,10394.7000000954,"B",6,7,4,3,1,5,6,8
14077146,"Conversion MSc",1,6,90,"both","platypus",161.29,"No",2,4,3,2,1,71,95,6,7,7,6,7,2,2,2,2,1,3,2,3,3,5,5,6,6,7,6,3,6,1,3,7,6,6,6,1,1,4,3,4,3,3,3,2,3,3,3,-3,3,3,-3,5,5,5,-3,-3,1,1,-3,1,5,4,1,6,4,3,2,3,2,1,5,5,1,4,4,4,2,4,4,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27519.04,"C",6,6,6,6,5,6,5,6
16747481,"Health MSc",6,7,65,"dog","koala",155,"No",4,2,2,4,1,60,66,7,7,7,6,7,2,2,4,3,2,1,1,2,2,5,3,5,6,5,6,6,6,5,5,6,1,2,6,5,6,6,6,6,5,3,1,3,3,3,3,0,3,3,3,5,3,6,1,-3,1,3,-2,4,5,0,2,2,4,4,4,4,3,3,4,4,3,4,4,5,5,4,5,3,1,2,3,3,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,1,1,2,1,2,1,1,1,1,1,1,11560.2450000238,"B",6,9,7,8,3,7,7,6
17201612,"Other Research MSc",6,2,70,"both","koala",157,"Yes",3,3,4,3,2,65,100,6,6,3,3,7,2,3,3,2,3,2,1,4,3,5,5,1,1,1,1,1,1,1,1,1,1,1,6,4,2,6,6,6,5,4,7,7,7,4,4,4,5,5,5,2,0,1,4,1,4,4,1,1,1,0,0,3,4,2,2,2,1,1,2,5,4,5,2,1,5,1,5,2,2,1,2,2,1,5,2,1,2,1,1,1,1,1,2,1,1,1,1,3,2,2,2,1,1,1,2,3,1,1,1,2,1,1,2,8054,"A",6,9,4,6,1,4,4,6
17202299,"Conversion MSc",5,8,55,"dog","koala",170.18,"No",2,2,3,2,4,53,52,6,6,5,4,6,1,3,3,3,2,1,1,2,2,5,4,5,4,5,5,4,3,5,5,6,4,4,4,4,4,5,4,4,3,4,3,2,3,3,5,3,5,3,6,2,1,4,1,1,3,4,1,3,4,0,0,0,5,4,5,5,4,3,3,5,2,5,4,5,4,3,5,5,3,2,5,4,5,4,5,3,5,4,3,3,3,2,4,2,3,3,4,3,3,4,2,4,3,3,3,3,4,3,3,3,3,3,4,13543.5000000119,"C",7,6,5,5,5,5,7,5
17714142,"Conversion MSc",1,5,60,"cat","platypus",182,"Yes",3,3,5,5,2,0,14,1,1,2,1,1,3,4,4,4,3,4,3,4,4,4,4,4,7,5,5,5,7,6,6,7,6,6,6,4,3,4,4,4,5,7,7,4,5,4,6,4,6,4,6,4,3,4,4,4,4,4,4,5,4,3,3,5,4,3,3,4,3,2,3,4,2,3,3,3,3,3,4,2,2,2,2,2,3,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13657.9,"C",5,5,5,5,5,5,5,5
