student.no,program,stats.exp,stats.anx,expected.grade,cat.dog,aus.animal,height,video.games,introversion2,introversion5,introversion7,introversion8,introversion10,pre.drink,post.drink,support.1,support.2,support.3,support.4,support.5,stress.1,stress.2,stress.3,stress.4,stress.5,sleep1,sleep2,sleep3,sleep4,sleep5,sleep6,exercise.attitude.1,exercise.attitude.2,exercise.attitude.3,exercise.attitude.4,exercise.attitude.5,exercise.intention.1,exercise.intention.2,exercise.intention.3,exercise.intention.4,exercise.intention.5,exercise.control.1,exercise.control.2,exercise.control.3,exercise.norms.1,exercise.norms.2,exercise.norms.3,exercise.norms.4,exercise.norms.5,exercise.behaviour.1,exercise.behaviour.2,exercise.behaviour.3,exercise.behaviour.4,exercise.behaviour.5,navigation1,navigation2,navigation3,navigation4,navigation5,stars.1,stars.2,stars.3,stars.4,stars.5,stars.6,stars.7,stars.8,stars.9,stars.10,stars.11,stars.12,stars.13,stars.14,stars.15,stars.16,stars.17,stars.18,stars.19,stars.20,stars.21,stars.22,stars.23,stars.24,stars.25,stars.26,stars.27,stars.28,stars.29,stars.30,stars.31,stars.32,stars.33,stars.34,stars.35,stars.36,stars.37,stars.38,stars.39,stars.40,stars.41,stars.42,stars.43,stars.44,stars.45,stars.46,stars.47,stars.48,stars.49,stars.50,stars.51,rotation_time,rotation_response,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7,male1,male2,male3,female1,female2,female3
15109563,Other Research MSc,6,2,70,cat,kangaroo,163,Yes,2,2,4,2,2,0,0,3,4,7,5,3,0,1,3,3,2,2,1,5,5,5,5,3,2,-2,3,-3,1,-3,2,1,-3,6,1,4,-2,-2,-2,1,-2,0,4,0,2,0,4,6,5,3,5,2,1,4,1,2,1,3,3,1,3,1,1,2,2,2,4,1,1,4,1,1,1,5,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,3,2,2,2,1,1,1,1,8.637,3,4,1,1,3,2,3,2,4,6,4,5,6,4
15810464,Other Research MSc,6,2,70,dog,koala,173,Yes,4,2,3,3,2,0,,6,6,5,5,6,2,2,4,2,3,2,2,3,3,4,1,3,3,-3,3,1,1,1,1,1,0,5,4,3,-3,1,1,1,3,0,4,0,5,4,5,6,5,5,6,2,1,4,2,2,1,2,3,1,2,2,1,5,2,4,4,1,2,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,38.734,3,6,3,3,6,5,6,6,5,7,4,5,4,4
15981955,Health MSc,3,6,70,dog,koala,176,No,4,3,4,3,2,4,4,3,5,2,2,3,2,2,2,3,2,2,1,2,2,3,2,3,3,-1,3,3,3,-3,1,3,1,6,5,4,0,1,1,1,3,6,6,0,0,6,5,5,5,6,5,2,2,2,2,1,2,3,4,4,4,1,4,3,1,3,1,1,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,3,1,2,2,33.696,3,2,2,3,2,2,1,1,4,5,4,5,4,4
16603673,Conversion MSc,2,6,65,dog,wombat,172.72,Yes,4,3,5,4,3,10,10,7,7,7,7,7,2,3,3,4,3,2,2,2,2,4,5,3,3,-3,3,3,3,-1,3,3,-1,4,3,4,0,3,-2,3,3,0,6,6,0,6,7,3,4,5,5,1,2,1,4,2,3,4,5,3,5,3,4,5,3,5,1,3,3,1,5,4,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.317,3,6,3,5,6,5,6,6,6,5,6,7,6,6
18145907,Conversion MSc,4,5,70,both,echidna,194,No,3,3,3,3,2,,0,6,6,6,6,6,2,2,1,4,4,1,1,1,1,1,2,2,1,1,3,1,3,3,3,3,3,6,3,3,0,0,0,1,1,4,6,4,4,4,4,5,6,5,5,4,3,3,4,1,3,3,4,1,4,3,1,2,2,3,2,1,1,3,3,4,4,3,1,2,1,1,1,1,2,3,1,1,2,1,2,1,1,3,2,1,1,3,1,1,2,1,3,1,2,3,8.74,3,3,4,3,3,4,3,6,5,5,5,5,5,5
18594899,Other Research MSc,6,6,70,both,platypus,157.48,Yes,5,5,5,5,4,24,24,5,6,1,1,6,3,2,2,3,3,4,3,5,5,4,4,1,2,1,3,2,1,1,1,2,1,5,3,5,-1,1,1,1,3,4,4,0,0,4,6,4,5,5,3,2,2,2,2,4,2,5,4,2,3,4,4,3,2,4,1,3,4,1,2,3,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73.969,3,4,4,5,4,5,4,1,2,5,2,4,6,5
19438870,Conversion MSc,5,4,60,cat,wombat,167,Yes,4,3,2,4,2,0,,6,6,3,2,6,0,2,2,4,3,1,,2,2,4,2,1,1,2,1,-1,1,-2,1,-1,-2,4,3,4,-3,-1,-1,1,0,2,5,0,0,5,7,5,5,5,5,3,2,2,2,1,2,3,3,1,3,1,1,2,2,3,2,1,1,3,3,2,3,3,1,2,2,1,2,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,52.738,3,5,2,2,4,3,5,3,4,6,3,4,3,3
19892219,Health MSc,6,5,75,both,koala,170,Yes,4,3,4,3,3,5,5,6,6,7,6,6,2,1,2,3,3,3,1,4,2,3,2,1,1,-1,2,1,1,-1,1,-1,-1,5,3,4,-1,0,-2,0,-2,4,5,0,6,4,6,6,6,6,6,3,2,2,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,2,2,13.276,2,4,3,4,4,4,4,3,5,5,5,5,5,5
20842889,Conversion MSc,1,4,70,dog,koala,150,No,4,4,4,4,4,0,,6,6,6,6,6,2,2,1,2,3,1,1,1,1,2,2,1,1,-1,1,1,1,1,1,1,1,4,3,3,1,1,1,1,0,0,6,0,5,4,4,3,3,5,3,2,3,1,3,3,2,4,4,2,4,3,2,3,3,4,1,3,3,2,3,2,4,2,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,4,2,3,2,3,3,2,3,71.198,3,3,0,1,2,2,3,1,5,5,5,5,5,5
20976570,Other Research MSc,4,7,73,dog,kangaroo,163,Yes,2,4,4,2,4,1,,6,6,7,6,6,3,1,3,3,1,2,1,1,1,3,1,1,0,0,1,0,1,1,1,1,1,6,2,4,-3,1,0,1,1,0,2,0,0,0,5,6,3,5,6,4,4,1,3,2,3,5,5,2,4,2,4,5,1,3,1,2,1,3,5,1,1,1,1,4,1,1,4,2,1,1,3,1,1,1,1,3,1,3,1,1,1,1,3,5,1,1,2,1,1,1,4.128,3,3,0,2,4,0,3,1,4,6,6,4,2,1
